币种,总收益率,年化收益率,最大回撤,总交易次数,胜率,亏损交易数,小盈利(0-50%),中等盈利(50-200%),大盈利(>200%)
NEROBOSS,57.97%,12.16%,-36.25%,13,53.85%,6,7,0,0
NEUR,420.35%,58.29%,-65.58%,10,90.00%,1,8,1,0
ORVA,-80.57%,-78.45%,-81.15%,3,0.00%,3,0,0,0
OVERSEER,-28.90%,-8.21%,-50.18%,15,33.33%,10,5,0,0
pee,-23.88%,-48.06%,-31.51%,1,100.00%,0,1,0,0
PENGU,20.12%,4.71%,-22.34%,12,75.00%,3,9,0,0
PINKDOG,-87.91%,-79.11%,-90.02%,2,0.00%,2,0,0,0
pippin,49.11%,10.54%,-31.80%,15,60.00%,6,9,0,0
Pisscoin,-9.21%,-2.40%,-72.29%,18,55.56%,8,9,1,0
PNET,-20.90%,-5.72%,-49.24%,15,66.67%,5,10,0,0
Pnut,-2.42%,-0.61%,-18.85%,7,57.14%,3,4,0,0
ponzi,791.05%,73.15%,-34.31%,18,88.89%,2,16,0,0
POTUS,454.83%,53.67%,-28.02%,21,80.95%,4,17,0,0
Prawn,-24.32%,-6.76%,-56.65%,13,46.15%,7,6,0,0
PULSR,121.95%,22.15%,-29.92%,17,70.59%,5,12,0,0
PYTHIA,42.17%,14.81%,-74.96%,6,50.00%,3,2,1,0
QOAT,-64.05%,-33.98%,-91.60%,7,28.57%,5,2,0,0
QUASAR,-26.84%,-7.54%,-66.49%,12,50.00%,6,6,0,0
RACKS,12.75%,9.02%,-26.09%,2,100.00%,0,2,0,0
RADIO,645.08%,65.46%,-28.34%,20,75.00%,5,14,1,0
rekt,-52.22%,-62.64%,-59.81%,2,0.00%,2,0,0,0
RETARDIO,20.85%,4.86%,-21.97%,11,63.64%,4,7,0,0
rich,27.75%,6.34%,-43.42%,19,57.89%,8,11,0,0
RINA,217.54%,33.64%,-49.73%,14,64.29%,5,9,0,0
SBR,176.73%,29.17%,-27.90%,19,78.95%,4,15,0,0
Scn2a,9.94%,39.99%,-18.72%,1,100.00%,0,1,0,0
SCOUT,20.46%,4.78%,-69.93%,9,77.78%,2,7,0,0
SEND,252.91%,37.19%,-20.38%,15,100.00%,0,15,0,0
SENSAI,2093.02%,213.51%,-79.34%,13,84.62%,2,7,3,1
SFO,1.79%,0.96%,-72.86%,7,85.71%,1,6,0,0
SHITCOIN,114.78%,21.17%,-44.24%,12,83.33%,2,9,1,0
Shoggoth,105.77%,19.86%,-25.31%,16,75.00%,4,12,0,0
SIGIL,950.92%,345.09%,-88.43%,5,80.00%,1,1,2,1
SkyAI,-29.57%,-17.34%,-61.47%,3,33.33%,2,1,0,0
